Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,181,8,Some Random Commen with Id 0
1,0,3,29,1,Some Random Commen with Id 1
2,0,3,176,6,Some Random Commen with Id 2
3,0,3,26,0,Some Random Commen with Id 3
4,0,3,6,6,Some Random Commen with Id 4
5,0,3,183,9,Some Random Commen with Id 5
6,2,5,44,5,Some Random Commen with Id 6
7,2,5,28,6,Some Random Commen with Id 7
8,2,5,192,6,Some Random Commen with Id 8
9,2,5,18,6,Some Random Commen with Id 9
10,2,5,31,8,Some Random Commen with Id 10
11,3,1,97,6,Some Random Commen with Id 11
12,3,1,51,1,Some Random Commen with Id 12
13,3,1,186,9,Some Random Commen with Id 13
14,3,1,60,3,Some Random Commen with Id 14
15,3,1,12,2,Some Random Commen with Id 15
16,3,1,68,8,Some Random Commen with Id 16
17,3,1,160,3,Some Random Commen with Id 17
18,4,3,160,0,Some Random Commen with Id 18
19,4,3,191,5,Some Random Commen with Id 19
20,4,3,152,9,Some Random Commen with Id 20
21,4,3,41,1,Some Random Commen with Id 21
22,4,3,179,5,Some Random Commen with Id 22
23,4,3,59,6,Some Random Commen with Id 23
24,4,3,178,4,Some Random Commen with Id 24
25,4,3,184,6,Some Random Commen with Id 25
26,5,7,79,5,Some Random Commen with Id 26
27,5,7,136,1,Some Random Commen with Id 27
28,5,7,136,2,Some Random Commen with Id 28
29,5,7,71,4,Some Random Commen with Id 29
30,6,1,125,6,Some Random Commen with Id 30
31,6,1,172,9,Some Random Commen with Id 31
32,6,1,70,8,Some Random Commen with Id 32
33,6,1,32,5,Some Random Commen with Id 33
34,6,1,0,3,Some Random Commen with Id 34
35,6,1,142,4,Some Random Commen with Id 35
36,6,1,110,6,Some Random Commen with Id 36
37,6,1,198,4,Some Random Commen with Id 37
38,7,2,192,1,Some Random Commen with Id 38
39,8,6,181,0,Some Random Commen with Id 39
40,8,6,43,3,Some Random Commen with Id 40
41,8,6,96,5,Some Random Commen with Id 41
42,8,6,163,3,Some Random Commen with Id 42
43,8,6,73,7,Some Random Commen with Id 43
44,8,6,112,8,Some Random Commen with Id 44
45,8,6,161,6,Some Random Commen with Id 45
46,9,6,157,5,Some Random Commen with Id 46
47,11,5,69,1,Some Random Commen with Id 47
48,11,5,197,2,Some Random Commen with Id 48
49,11,5,113,5,Some Random Commen with Id 49
50,11,5,109,0,Some Random Commen with Id 50
51,12,9,114,6,Some Random Commen with Id 51
52,12,9,159,6,Some Random Commen with Id 52
53,12,9,54,0,Some Random Commen with Id 53
54,13,3,108,3,Some Random Commen with Id 54
55,13,3,174,1,Some Random Commen with Id 55
56,13,3,110,2,Some Random Commen with Id 56
57,14,8,57,3,Some Random Commen with Id 57
58,14,8,90,5,Some Random Commen with Id 58
59,15,5,67,0,Some Random Commen with Id 59
60,15,5,109,3,Some Random Commen with Id 60
61,15,5,94,3,Some Random Commen with Id 61
62,15,5,179,6,Some Random Commen with Id 62
63,15,5,79,6,Some Random Commen with Id 63
64,15,5,136,4,Some Random Commen with Id 64
65,15,5,105,1,Some Random Commen with Id 65
66,15,5,118,1,Some Random Commen with Id 66
67,15,5,104,6,Some Random Commen with Id 67
68,17,7,39,1,Some Random Commen with Id 68
69,17,7,130,1,Some Random Commen with Id 69
70,18,8,172,1,Some Random Commen with Id 70
71,18,8,154,1,Some Random Commen with Id 71
72,18,8,165,3,Some Random Commen with Id 72
73,18,8,50,2,Some Random Commen with Id 73
74,18,8,186,0,Some Random Commen with Id 74
75,18,8,31,9,Some Random Commen with Id 75
76,18,8,81,7,Some Random Commen with Id 76
77,19,6,12,2,Some Random Commen with Id 77
78,19,6,125,8,Some Random Commen with Id 78
79,19,6,2,9,Some Random Commen with Id 79
80,19,6,192,6,Some Random Commen with Id 80
81,20,7,15,3,Some Random Commen with Id 81
82,20,7,4,0,Some Random Commen with Id 82
83,20,7,186,3,Some Random Commen with Id 83
84,20,7,129,5,Some Random Commen with Id 84
85,21,8,95,9,Some Random Commen with Id 85
86,21,8,57,4,Some Random Commen with Id 86
87,21,8,138,4,Some Random Commen with Id 87
88,21,8,68,9,Some Random Commen with Id 88
89,21,8,124,4,Some Random Commen with Id 89
90,21,8,130,4,Some Random Commen with Id 90
91,22,1,126,9,Some Random Commen with Id 91
92,22,1,85,6,Some Random Commen with Id 92
93,22,1,0,4,Some Random Commen with Id 93
94,22,1,196,8,Some Random Commen with Id 94
95,22,1,67,2,Some Random Commen with Id 95
96,23,6,127,6,Some Random Commen with Id 96
97,24,0,6,0,Some Random Commen with Id 97
98,25,3,180,6,Some Random Commen with Id 98
99,25,3,195,4,Some Random Commen with Id 99
100,25,3,55,8,Some Random Commen with Id 100
101,25,3,131,3,Some Random Commen with Id 101
102,25,3,134,5,Some Random Commen with Id 102
103,25,3,30,5,Some Random Commen with Id 103
104,25,3,62,6,Some Random Commen with Id 104
105,25,3,22,5,Some Random Commen with Id 105
106,25,3,32,7,Some Random Commen with Id 106
107,26,8,14,4,Some Random Commen with Id 107
108,26,8,163,2,Some Random Commen with Id 108
109,26,8,100,2,Some Random Commen with Id 109
110,26,8,174,5,Some Random Commen with Id 110
111,26,8,107,2,Some Random Commen with Id 111
112,26,8,42,0,Some Random Commen with Id 112
113,26,8,104,0,Some Random Commen with Id 113
114,27,3,76,8,Some Random Commen with Id 114
115,27,3,107,1,Some Random Commen with Id 115
116,27,3,44,2,Some Random Commen with Id 116
117,27,3,5,3,Some Random Commen with Id 117
118,27,3,193,0,Some Random Commen with Id 118
119,28,1,186,7,Some Random Commen with Id 119
120,28,1,175,7,Some Random Commen with Id 120
121,28,1,53,9,Some Random Commen with Id 121
122,28,1,81,0,Some Random Commen with Id 122
123,28,1,173,4,Some Random Commen with Id 123
124,28,1,61,8,Some Random Commen with Id 124
125,28,1,60,9,Some Random Commen with Id 125
126,28,1,59,8,Some Random Commen with Id 126
127,28,1,162,5,Some Random Commen with Id 127
128,29,8,46,1,Some Random Commen with Id 128
129,29,8,0,2,Some Random Commen with Id 129
130,29,8,41,7,Some Random Commen with Id 130
131,29,8,117,4,Some Random Commen with Id 131
132,29,8,194,9,Some Random Commen with Id 132
133,29,8,105,4,Some Random Commen with Id 133
134,29,8,83,0,Some Random Commen with Id 134
135,29,8,190,6,Some Random Commen with Id 135
136,29,8,11,3,Some Random Commen with Id 136
137,30,8,93,5,Some Random Commen with Id 137
138,30,8,159,6,Some Random Commen with Id 138
139,30,8,78,9,Some Random Commen with Id 139
140,30,8,164,5,Some Random Commen with Id 140
141,31,0,16,7,Some Random Commen with Id 141
142,31,0,145,6,Some Random Commen with Id 142
143,31,0,125,5,Some Random Commen with Id 143
144,31,0,15,8,Some Random Commen with Id 144
145,31,0,195,1,Some Random Commen with Id 145
146,31,0,30,6,Some Random Commen with Id 146
147,31,0,196,4,Some Random Commen with Id 147
148,31,0,184,5,Some Random Commen with Id 148
149,32,1,85,9,Some Random Commen with Id 149
150,32,1,93,6,Some Random Commen with Id 150
151,32,1,10,4,Some Random Commen with Id 151
152,32,1,193,5,Some Random Commen with Id 152
153,32,1,133,3,Some Random Commen with Id 153
154,33,7,107,1,Some Random Commen with Id 154
155,34,0,91,5,Some Random Commen with Id 155
156,34,0,79,2,Some Random Commen with Id 156
157,35,7,33,0,Some Random Commen with Id 157
158,35,7,184,0,Some Random Commen with Id 158
159,35,7,188,2,Some Random Commen with Id 159
160,35,7,187,6,Some Random Commen with Id 160
161,35,7,179,7,Some Random Commen with Id 161
162,35,7,6,7,Some Random Commen with Id 162
163,35,7,76,6,Some Random Commen with Id 163
164,36,9,93,7,Some Random Commen with Id 164
165,36,9,83,8,Some Random Commen with Id 165
166,37,5,60,1,Some Random Commen with Id 166
167,37,5,152,4,Some Random Commen with Id 167
168,37,5,53,4,Some Random Commen with Id 168
169,37,5,147,7,Some Random Commen with Id 169
170,37,5,50,7,Some Random Commen with Id 170
171,37,5,133,6,Some Random Commen with Id 171
172,37,5,108,6,Some Random Commen with Id 172
173,38,0,194,8,Some Random Commen with Id 173
174,38,0,1,9,Some Random Commen with Id 174
175,38,0,11,5,Some Random Commen with Id 175
176,38,0,149,4,Some Random Commen with Id 176
177,38,0,88,5,Some Random Commen with Id 177
178,38,0,186,5,Some Random Commen with Id 178
179,39,3,14,8,Some Random Commen with Id 179
180,39,3,129,6,Some Random Commen with Id 180
181,39,3,55,2,Some Random Commen with Id 181
182,39,3,101,5,Some Random Commen with Id 182
